id,상태,구분,종류,제목,설명,성별,지역,작성일,img
1,분양중,강아지,믹스,믹스 무료분양합니다.,"유기견무료분양, 믹스 무료분양합니다.

♡♡♡ 배변훈련완료, 애교둥이

예전부터 작은 몸에 예쁜코트, 사랑스런 눈빛에
사람을 너무 좋아해서 눈여겨봤던

가면서... 뮤지... 입양갔길.. 바라며 갔지만
아직 보호소에 있었네요ㅜㅜ

보호소에 오래있었는데 어떻게 이렇게 뽀얗게 예쁠까요?
어떻게 아직도 사람이 좋다구 대뜸 배부터 까는걸까요??

그런 널 보호소에 오래있게해서 이모가 정말 미안해ㅠㅠ

집생활 기억하는 듯한 뮤지

목욕도 너무 잘하고
배변도 패드에 하구
앉아서
눈도 마주치고
웃어줘요ㅠㅠㅠㅠㅠㅠ

세상 예쁨 다가진 뮤지♡

복실복실한 장모 코트는 당연히 너무나 사랑스럽지만
외모보다 성격이 더예뻐요

임보이모 소파를 떡하니 차지한 당당함도 예쁘고
이모 눈마주치며 만져달라고 표현하는 것도 예쁘고

만져주면 좋아서 막 파고드는....
사람이 좋고 사랑받는게 좋은 줄 아는 뮤지

많이 사랑받던 아이였나봐요......

뮤지♡ 더이상은 가족을 기다리지 않도록
평생가족이 되어주세요♡


(여/중성화 o/예쁜 바둑이 /4세 추정/접종 완료 구충완료/22년 현재 약 8kg)


임보계정에 사진 영상 검색해서 꼭 봐주세요♡

♡ 입양조건 ♡
♡ 사랑으로 품어주실 평생가족
♡ 입양 후 중성화, 동물등록 약속",암,서울,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644805679_72861400.jpg
2,분양완료,고양이,렉돌,렉돌 무료분양합니다.,"고양이무료분양, 렉돌 무료분양합니다.

고양이무료분양, 렉돌 무료분양합니다.
중성화 되있고 접종,구충제,심장사상충 다되있어요
피치못할 사정으로 좋은가정으로 보내려고해요
하악질 한번안하고 만져주면 항상 고르릉 거리고 엄청 순한 개냥이에요
좋은 가정으로 보내려고합니다 혼자사시는분은 사절합니다",수,서울,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644804754_43920200.jpeg
3,분양중,강아지,퍼그,퍼그 무료분양합니다.," 
강아지무료분양, 퍼그 무료분양합니다.

퍼그 2살 땡구
몸이 갑작이 안좋아져서 보내게 되여...
땡구는 앉아 손 하이파이브 기달려 할줄 알고
다른 강아지랑 도 잘 지냅니다
잔짖음 하나 없고 코를 좀 골아요 소리에 민감하신 분들을 힘드실거에여
지역은 부천이고 땡구가 쓰던 용품 전부다 드려요
***구 삼구공구 연락주세요",수,경기도,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644803469_75000200.jpeg
4,분양중,강아지,진돗개,진돗개 무료분양합니다.,"강아지무료분양, 진돗개 무료분양합니다.

귀욤귀욤블랙탄이 남매예요.

현재 2개월 16일이구요. 사료도 잘 먹고 활발하고 쑥쑥 크고 똑똑해요.
어찌나 귀여운지!!!저흰 블랙탕니 성견3마리, 믹스견1서견마리 키우고 있는데 코로나시
기 애들 보면 답답함이 싹~~~
원래 4마리만 낳아서 몇일 사이 2마리만 집서 키우시겠다고 분양되었요.
할머니, 할아버지는 진도혈통서 있어요.
직접 아가들 데리러 오셔야 합니다.",암,제주도,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644803433_38345400.jpg
5,분양중,강아지,요크셔테리어,요크셔테리어 무료분양합니다.,"강아지무료분양, 요크셔테리어 무료분양합니다.

사람을 잘따르는아이입니다
어디아픈적없구요
배변도 패드에 잘가립니다
산책도잘하구요
다른강아지들과도 잘지냅니다 사납거나그런부분없구요
산책을 좋아하는데 잘못시켜주게되어 보냅니다
산책자주시켜주실수있는분께서 데려가주셨으면 좋겠습니다",암,울산시,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644801837_11099200.jpg
6,분양중,고양이,스코티쉬 폴드,스코티쉬 폴드 무료분양합니다.,"고양이무료분양, 스코티쉬 폴드 무료분양합니다.

개인사정(직장)으로 부득이 분양합니다
중성화수술 했구요 냥이(써니)에게 사용하던 사료 및 모든물건
드릴게요 잘 키우실 집사님 데려가세요
13개월된 순둥이 개냥이 입니다",암,경기도,,https://www.zooseyo.com/dog_sale/photo_free/1644802535_34241400.jpg
7,분양중,강아지,믹스견,믹스견 무료분양합니다.,"유기견무료분양, 믹스견 무료분양합니다.

[제발 제발 끝까지 읽고 연락주세요]
깜찍한 4개월 남아 비룡이 평생가족을 찾아요!!",암,서울,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644801459_74476800.jpeg
8,분양중,고양이,한국 고양이,한국 고양이 무료분양합니다.,"고양이무료분양, 한국 고양이 무료분양합니다.

# 강산이
#10개월 남아
#2차접종완료 중성화완료",수,경기도,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644796898_09618000.jpg
9,분양중,고양이,노르웨이 숲,노르웨이 숲 무료분양합니다.,"고양이무료분양, 노르웨이 숲 무료분양합니다.

먼치킨 남아(2살), 노르웨이숲 남아(3.7살)


다묘집 적응 불가하고 일년넘게 합사가 계속 안되서
품기위해 노력했지만 어쩔수 없이 분양합니다
중성화 완료 되었습니다",수,경기도,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Norwegian_Forest_Cat_face.jpg/300px-Norwegian_Forest_Cat_face.jpg
,분양중,토끼,롭이어,롭이어 무료분양합니다.," 
토끼무료분양, 롭이어 무료분양합니다.

지역은 안산입니다.
4개월 된 토끼 입니다.
남자 아이 이고 오줌 똥 잘 가립니다.
방목하면서 키웠습니다.
키이지랑 사료 등등 필요한거 모두 드립니다.
방목하면서 키우실분만 연락 바랍니다.
책임비 3만원입니다.",수,경기도,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644753130_88980000.jpg
,분양중,햄스터,정글리안,정글리안 무료분양합니다.,"햄스터무료분양, 정글리안 무료분양합니다.

안녕하세요.
드워프 햄스터 45일된 일곱 마리를 무료 분양합니다. 분양 장소는 동덕 여대 올라가는 입구 우측 50 m 풀하
우스 고시텔 앞으로 오시면 됩니다 문자로 연락 주시기 바랍니다.",암수,서울시,,https://www.zooseyo.com/dog_sale/photo_free/202202/1644305308_50181700.jpg
